 [antenna_current.dat]

     i     Im[i].re     Im[i].im      |Im[i]|   PhaseIm[i] 
    10   0.00000552   0.00006077   0.00006102        84.81
    11   0.00000467   0.00006671   0.00006687        85.99
    12   0.00000537   0.00007011   0.00007031        85.62
    13   0.00000748   0.00007085   0.00007124        83.98
    14   0.00001112   0.00006923   0.00007012        80.87
    15   0.00001531   0.00006597   0.00006772        76.93
    16   0.00001906   0.00006141   0.00006430        72.76
    17  -0.00015608  -0.00006389   0.00016864      -157.74
    18  -0.00000116  -0.00000138   0.00000180      -130.07
    19   0.00002864  -0.00274556   0.00274571       -89.40
    20   0.00003167  -0.00215884   0.00215907       -89.16
    21   0.00003305  -0.00118738   0.00118784       -88.41
    22   0.00003225  -0.00218480   0.00218503       -89.15
    23   0.00002945  -0.00275605   0.00275621       -89.39
    24   0.00002436  -0.00322240   0.00322249       -89.57
    25   0.00001857  -0.00360532   0.00360537       -89.70
    26   0.00001378  -0.00392313   0.00392315       -89.80
    27   0.00000978  -0.00415794   0.00415795       -89.87
    28   0.00000655  -0.00430015   0.00430015       -89.91
    29   0.00000527  -0.00435123   0.00435123       -89.93
    30   0.00000611  -0.00431404   0.00431405       -89.92
    31   0.00000887  -0.00419051   0.00419052       -89.88
    32   0.00001373  -0.00398683   0.00398686       -89.80
    33   0.00001938  -0.00369575   0.00369580       -89.70
    34   0.00002443  -0.00327480   0.00327490       -89.57
    35  -0.00019174  -0.00038471   0.00042984      -116.49
    36  -0.00000144  -0.00015557   0.00015558       -90.53
    37  -0.00000038   0.00010890   0.00010890        90.20
    38   0.00003507  -0.00004728   0.00005886       -53.43
    39   0.00003520   0.00000775   0.00003605        12.41
    40   0.00003542   0.00006088   0.00007043        59.81
    41   0.00003571   0.00010711   0.00011291        71.56
    42   0.00003607   0.00015182   0.00015604        76.64
    43   0.00003587  -0.00012482   0.00012987       -73.97



     i     Im[i].re     Im[i].im      |Im[i]|   PhaseIm[i] 
     1   0.00002174   0.00005002   0.00005454        66.51
     2   0.00002391   0.00003012   0.00003846        51.55
     3   0.00002491   0.00001227   0.00002776        26.22
     4   0.00002428   0.00001123   0.00002675        24.82
     5   0.00002219   0.00001455   0.00002653        33.26
     6   0.00001844   0.00002156   0.00002837        49.45
     7   0.00001423   0.00003032   0.00003349        64.86
     8   0.00001075   0.00003871   0.00004018        74.48
     9   0.00000788   0.00004664   0.00004730        80.40
    10   0.00000560   0.00005395   0.00005424        84.07
    11   0.00000476   0.00005978   0.00005996        85.45
    12   0.00000542   0.00006319   0.00006343        85.09
    13   0.00000746   0.00006413   0.00006457        83.37
    14   0.00001100   0.00006287   0.00006382        80.08
    15   0.00001508   0.00006001   0.00006187        75.90
    16   0.00001873   0.00005584   0.00005890        71.46
    17  -0.00015310  -0.00005199   0.00016169      -161.24
    18  -0.00000114  -0.00000121   0.00000166      -133.36
    19   0.00002898  -0.00274828   0.00274843       -89.40
    20   0.00003206  -0.00215785   0.00215809       -89.15
    21   0.00003347  -0.00118238   0.00118285       -88.38
    22   0.00003269  -0.00218023   0.00218048       -89.14
    23   0.00002989  -0.00275224   0.00275240       -89.38
    24   0.00002477  -0.00321933   0.00321942       -89.56
    25   0.00001894  -0.00360300   0.00360305       -89.70
    26   0.00001410  -0.00392150   0.00392152       -89.79
    27   0.00001005  -0.00415703   0.00415705       -89.86
    28   0.00000676  -0.00429999   0.00429999       -89.91
    29   0.00000544  -0.00435172   0.00435172       -89.93
    30   0.00000627  -0.00431511   0.00431511       -89.92
    31   0.00000904  -0.00419211   0.00419212       -89.88
    32   0.00001393  -0.00398886   0.00398889       -89.80
    33   0.00001962  -0.00369803   0.00369808       -89.70
    34   0.00002472  -0.00327734   0.00327743       -89.57
    35  -0.00019274  -0.00038522   0.00043075      -116.58
    36  -0.00000145  -0.00015543   0.00015543       -90.54
    37  -0.00000071   0.00011546   0.00011546        90.35
    38   0.00003634  -0.00005705   0.00006764       -57.51
    39   0.00003639  -0.00000853   0.00003738       -13.19
    40   0.00003652   0.00003888   0.00005334        46.80
    41   0.00003673   0.00008373   0.00009143        66.32
    42   0.00003700   0.00012108   0.00012661        73.01
    43   0.00003736   0.00015516   0.00015960        76.46
    44   0.00003719  -0.00012632   0.00013168       -73.60



     i     Im[i].re     Im[i].im      |Im[i]|   PhaseIm[i] 
     1   0.00002134   0.00004489   0.00004970        64.57
     2   0.00002346   0.00002615   0.00003513        48.11
     3   0.00002443   0.00000930   0.00002614        20.83
     4   0.00002382   0.00000817   0.00002518        18.93
     5   0.00002179   0.00001115   0.00002448        27.11
     6   0.00001816   0.00001767   0.00002534        44.22
     7   0.00001406   0.00002587   0.00002945        61.47
     8   0.00001069   0.00003373   0.00003538        72.41
     9   0.00000790   0.00004121   0.00004196        79.14
    10   0.00000569   0.00004818   0.00004852        83.27
    11   0.00000487   0.00005377   0.00005399        84.83
    12   0.00000551   0.00005707   0.00005734        84.49
    13   0.00000748   0.00005804   0.00005852        82.66
    14   0.00001091   0.00005693   0.00005797        79.15
    15   0.00001487   0.00005430   0.00005630        74.69
    16   0.00001842   0.00005041   0.00005367        69.93
    17  -0.00014957  -0.00004089   0.00015505      -164.71
    18  -0.00000111  -0.00000104   0.00000152      -136.97
    19   0.00002936  -0.00274614   0.00274630       -89.39
    20   0.00003246  -0.00215637   0.00215661       -89.14
    21   0.00003389  -0.00118216   0.00118265       -88.36
    22   0.00003312  -0.00217951   0.00217976       -89.13
    23   0.00003030  -0.00275173   0.00275189       -89.37
    24   0.00002515  -0.00321896   0.00321906       -89.55
    25   0.00001928  -0.00360275   0.00360280       -89.69
    26   0.00001440  -0.00392125   0.00392128       -89.79
    27   0.00001032  -0.00415680   0.00415681       -89.86
    28   0.00000700  -0.00429979   0.00429979       -89.91
    29   0.00000566  -0.00435145   0.00435145       -89.93
    30   0.00000648  -0.00431470   0.00431471       -89.91
    31   0.00000926  -0.00419154   0.00419155       -89.87
    32   0.00001418  -0.00398808   0.00398811       -89.80
